Week of birth,Standardised Maths,Standardised English,Standardised Reasoning,Raw Maths,Raw English,Raw Reasoning
24/08/2013,117,124,122,19,22,61
24/08/2013,110,104,115,16,15,51
24/08/2013,108,109,110,15,17,45
24/08/2013,110,124,116,16,22,52
24/08/2013,132,124,133,23,22,72
24/08/2013,105,109,99,14,17,32
24/08/2013,115,136,117,18,24,53
24/08/2013,141,117,136,25,20,73
24/08/2013,115,121,121,18,21,60
31/08/2013,137,124,129,24,22,68
31/08/2013,126,98,124,22,12,64
31/08/2013,132,121,127,23,21,67
31/08/2013,101,100,115,12,13,50
31/08/2013,112,114,121,17,19,60
31/08/2013,103,95,117,13,11,53
31/08/2013,119,114,132,20,19,71
31/08/2013,93,104,113,9,15,48
31/08/2013,101,100,103,12,13,37
31/08/2013,119,112,120,20,18,59
31/08/2013,112,112,103,17,18,37
31/08/2013,72,69,90,3,2,24
31/08/2013,115,109,115,18,17,50
31/08/2013,101,112,132,12,18,70
31/08/2013,110,100,94,16,13,28
31/08/2013,108,109,116,15,17,52
31/08/2013,112,102,114,17,14,49
31/08/2013,101,91,112,12,9,46
31/08/2013,117,129,125,19,23,65
31/08/2013,101,95,105,12,11,39
31/08/2013,117,114,119,19,19,56
31/08/2013,126,109,115,22,17,50
31/08/2013,108,104,116,15,15,52
31/08/2013,84,95,105,6,11,39
31/08/2013,117,102,126,19,14,66
31/08/2013,101,114,104,12,19,38
31/08/2013,110,93,105,16,10,39
31/08/2013,96,109,114,10,17,49
31/08/2013,110,107,120,16,16,58
31/08/2013,119,121,121,20,21,60
31/08/2013,115,107,124,18,16,64
31/08/2013,108,107,118,15,16,55
31/08/2013,101,114,129,12,19,68
31/08/2013,105,114,114,14,19,49
31/08/2013,115,117,110,18,20,45
31/08/2013,117,112,106,19,18,40
31/08/2013,122,114,117,21,19,53
31/08/2013,112,93,120,17,10,58
31/08/2013,119,112,124,20,18,63
31/08/2013,112,117,117,17,20,54
31/08/2013,72,100,91,3,13,25
31/08/2013,112,109,100,17,17,34
31/08/2013,117,104,110,19,15,45
31/08/2013,108,100,110,15,13,45
31/08/2013,108,85,95,15,7,29
31/08/2013,137,104,125,24,15,65
31/08/2013,88,93,100,7,10,33
31/08/2013,126,129,126,22,23,66
31/08/2013,108,107,119,15,16,56
31/08/2013,137,141,136,24,25,73
31/08/2013,115,129,117,18,23,53
31/08/2013,137,114,130,24,19,69
31/08/2013,93,95,87,9,11,22
31/08/2013,117,117,124,19,20,64
31/08/2013,98,82,91,11,6,25
31/08/2013,103,136,122,13,24,61
31/08/2013,108,109,115,15,17,51
31/08/2013,103,91,102,13,9,35
31/08/2013,110,114,112,16,19,46
31/08/2013,105,102,107,14,14,41
31/08/2013,105,98,105,14,12,39
31/08/2013,115,141,119,18,25,57
31/08/2013,90,91,102,8,9,35
31/08/2013,117,107,115,19,16,51
31/08/2013,98,107,103,11,16,37
31/08/2013,137,124,141,24,22,76
31/08/2013,84,100,92,6,13,26
31/08/2013,132,117,136,23,20,73
31/08/2013,90,91,102,8,9,36
31/08/2013,126,121,129,22,21,68
31/08/2013,98,88,94,11,8,28
31/08/2013,105,95,100,14,11,33
31/08/2013,122,124,129,21,22,68
31/08/2013,103,104,112,13,15,47
