Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
1,The Henrietta Barnett School,London,Selective (100%),43,81.4,95.2,1,96.9,1,138051,The Henrietta Barnett School,117,86.4
2,"Queen Elizabeth's School, Barnet",London,Selective (100%),52.7,85.2,95.2,1=,96.6,2,136290,"Queen Elizabeth's School, Barnet",116.5,86.6
4,St Olave's Grammar School,Orpington,Selective (100%),37.1,74.8,93.4,4,95.1,3,101676,St Olave's and St Saviour's Grammar School,115.9,85.8
3,Wilson's School,Wallington,Selective (100%),39,77.8,93.6,3,94.6,4,136621,Wilson's School,115.9,85.6
6,The Tiffin Girls' School,Kingston upon Thames,Selective (100%),38.3,71.6,90.7,9,94.1,5,136615,The Tiffin Girls' School,116.4,84.8
5,Pate's Grammar School,Cheltenham,Selective (100%),36.5,73,92.3,6,91.9,6,136353,Pate's Grammar School,116.3,83.7
8,Altrincham Grammar School for Girls,Altrincham,Selective (100%),30.5,67.6,89,15,90.4,7,137289,Altrincham Grammar School for Girls,115.1,81.6
7,Colchester Royal Grammar School,Colchester,Selective (100%),32.8,72.6,92.2,7,90.2,8,149899,Colchester Royal Grammar School,115.6,83.4
9,"King Edward VI Grammar School, Chelmsford",Chelmsford,Selective (100%),34.6,70.5,89.1,14,89.7,9,136642,"King Edward VI Grammar School, Chelmsford",115.8,83.6
28,Kendrick School,Reading,Selective (100%),23.4,58.1,79,61,89.3,10,136448,Kendrick School,116,84.4
127,"King David High School, Liverpool",Liverpool,Partially selective (15%),-,-,54.2,325=,88.9,11,104703,King David High School,106.4,55.3
10,King Edward VI Camp Hill School for Girls,Birmingham,Selective (100%),30.5,68.4,89.8,13,88,12,137044,King Edward VI Camp Hill School for Girls,115.6,82.3
21,King Edward VI Camp Hill School for Boys,Birmingham,Selective (100%),32,62.8,82.9,44,87.4,13,137045,King Edward VI Camp Hill School for Boys,115.5,83.3
45,Sutton Coldfield Grammar School for Girls,Sutton Coldfield,Selective (100%),19.5,51,73.5,109,86.6,14,136778,Sutton Coldfield Grammar School for Girls,114.8,80.9
11,"King Edward VI School, Stratford",Stratford-upon-Avon,Selective (100%),28.2,67.6,90.1,10,86.3,15,137302,King Edward VI School,114.6,81.7
97,Colchester County High School for Girls,Colchester,Selective (100%),13.4,36.3,61.6,235,86.2,16,137515,Colchester County High School for Girls,115.1,80.8
17,The Latymer School,London,Selective (100%),31,68,86.6,21,86,17,102055,The Latymer School,116.1,81
12,Reading School,Reading,Selective (100%),33.1,72.2,90,11,85.7,18,136449,Reading School,115.6,81.1
18,Stratford Girls' Grammar School,Stratford-upon-Avon,Selective (100%),24.4,62.5,86.7,20,85.7,18,137235,Stratford Girls' Grammar School,114.5,79.9
19,Colyton Grammar School,Colyton,Selective (100%),32.2,65.4,86.2,22,85.3,20,136366,Colyton Grammar School,114.7,79.8
20,Chelmsford County High School for Girls,Chelmsford,Selective (100%),21.1,58.9,84.5,34,85.3,20,136412,Chelmsford County High School for Girls,115.8,80.6
30,Sutton Grammar School,Sutton,Selective (100%),20.8,57,80.8,53,85.2,22,136787,Sutton Grammar School,115.1,82.6
16,"St Michael's RC Grammar School, Finchley",London,Selective (100%),23.3,61.6,88.2,16,84.1,23,101361,St Michael's Catholic Grammar School,114.5,79.3
42,Nonsuch High School for Girls,Cheam,Selective (100%),15.5,48.2,76.2,76=,83.8,24,136795,Nonsuch High School for Girls,115,81.3
22,Newstead Wood School,Orpington,Selective (100%),22.5,58.2,84.6,33,83.7,25,136551,Newstead Wood School,114.5,80.2
25,The Judd School,Tonbridge,Selective (100%),22.8,58.4,83.2,38,82.2,26,118843,The Judd School,114.4,78.4
14,Tonbridge Grammar School,Tonbridge,Selective (100%),22.7,63.9,90,11,81.7,27,136417,Tonbridge Grammar School,115,79.3
24,Altrincham Grammar School for Boys,Altrincham,Selective (100%),28.1,65,84.8,31,81.5,28,136458,Altrincham Grammar School for Boys,113.6,79.9
38,Wallington High School for Girls,Wallington,Selective (100%),20.3,56,79.9,56,81.1,29,136789,Wallington High School for Girls,114.6,79.3
37,The Liverpool Blue Coat School,Liverpool,Selective (100%),23.6,56.8,81.5,51=,80.5,30,137916,The Blue Coat School,115.4,80.1
