year,record,primary_area,LA,STTS,grammar_req,EthCode,review
2017,1,!,Buckinghamshire,90,NotYes,WHB,AppendedBlankField
2017,2,!,Buckinghamshire,88,NotYes,AAO,No
2017,3,!,Buckinghamshire,94,NotYes,WHB,AppendedBlankField
2017,4,!,Buckinghamshire,91,NotYes,MWB,AppendedBlankField
2017,5,!,Buckinghamshire,41,NotYes,BLB,AppendedBlankField
2017,6,!,Buckinghamshire,55,NotYes,APK,AppendedBlankField
2017,7,!,Buckinghamshire,133,Y,AIN,AppendedBlankField
2017,8,!,Out,91,NotYes,AppendedBlankField,AppendedBlankField
2017,9,!,Out,103,NotYes,AppendedBlankField,AppendedBlankField
2017,10,!,Out,138,Y,AppendedBlankField,AppendedBlankField
2017,11,!,Out,157,Y,WHB,AppendedBlankField
2017,12,!,Out,82,NotYes,AppendedBlankField,AppendedBlankField
2017,13,!,Out,114,NotYes,WHB,No
2017,14,!,Out,99,NotYes,AppendedBlankField,AppendedBlankField
2017,15,!,Out,125,Y,AppendedBlankField,AppendedBlankField
2017,16,!,Buckinghamshire,31,NotYes,MWB,AppendedBlankField
2017,17,!,Buckinghamshire,56,NotYes,WHB,AppendedBlankField
2017,18,!,Buckinghamshire,81,NotYes,WHB,AppendedBlankField
2017,19,!,Buckinghamshire,37,NotYes,WHB,AppendedBlankField
2017,20,!,Buckinghamshire,87,NotYes,WHB,AppendedBlankField
2017,21,!,Buckinghamshire,38,NotYes,WHB,AppendedBlankField
2017,22,!,Buckinghamshire,62,NotYes,WHR,AppendedBlankField
2017,23,!,Buckinghamshire,66,NotYes,WHB,AppendedBlankField
2017,24,!,Buckinghamshire,77,NotYes,WHB,AppendedBlankField
2017,25,!,Buckinghamshire,53,NotYes,WHB,AppendedBlankField
2017,26,!,Buckinghamshire,48,NotYes,WHB,AppendedBlankField
2017,27,!,Buckinghamshire,126,Y,WHB,AppendedBlankField
2017,28,!,Buckinghamshire,56,NotYes,WHB,AppendedBlankField
2017,29,!,Buckinghamshire,51,NotYes,APK,AppendedBlankField
2017,30,!,Buckinghamshire,68,NotYes,WHA,AppendedBlankField
2017,31,!,Buckinghamshire,43,NotYes,WHB,AppendedBlankField
2017,32,!,Buckinghamshire,56,NotYes,WHA,AppendedBlankField
2017,33,!,Buckinghamshire,60,NotYes,WHB,AppendedBlankField
2017,34,!,Buckinghamshire,37,NotYes,WHB,AppendedBlankField
2017,35,!,Buckinghamshire,87,NotYes,WHB,AppendedBlankField
2017,36,!,Buckinghamshire,41,NotYes,WHB,AppendedBlankField
2017,37,!,Buckinghamshire,128,Y,WHB,AppendedBlankField
2017,38,!,Out,111,NotYes,WHB,No
2017,39,!,Out,147,Y,WEN,AppendedBlankField
2017,40,!,Out,75,NotYes,WES,AppendedBlankField
2017,41,!,Out,125,Y,WHB,AppendedBlankField
2017,42,!,Out,107,NotYes,AppendedBlankField,AppendedBlankField
2017,43,!,Out,93,NotYes,BLF,AppendedBlankField
2017,44,!,Out,82,NotYes,AppendedBlankField,AppendedBlankField
2017,45,!,Out,97,NotYes,AppendedBlankField,AppendedBlankField
2017,46,!,Buckinghamshire,31,NotYes,WHB,AppendedBlankField
2017,47,!,Buckinghamshire,58,NotYes,WHB,AppendedBlankField
2017,48,!,Buckinghamshire,145,Y,MWB,AppendedBlankField
2017,49,!,Buckinghamshire,127,Y,AppendedBlankField,AppendedBlankField
2017,50,!,Buckinghamshire,43,NotYes,WHB,AppendedBlankField
2017,51,!,Buckinghamshire,122,Y,AAO,AppendedBlankField
2017,52,!,Buckinghamshire,71,NotYes,WHB,AppendedBlankField
2017,53,!,Buckinghamshire,102,NotYes,WHB,AppendedBlankField
2017,54,!,Buckinghamshire,69,NotYes,OEO,AppendedBlankField
2017,55,!,Buckinghamshire,60,NotYes,WHB,AppendedBlankField
2017,56,!,Buckinghamshire,157,Y,MBA,AppendedBlankField
2017,57,!,Out,153,Y,AppendedBlankField,AppendedBlankField
2017,58,!,Out,118,NotYes,MOT,AppendedBlankField
2017,59,!,Out,116,Y,WHA,Yes
2017,60,!,Out,69,NotYes,MOT,AppendedBlankField
2017,61,!,Buckinghamshire,136,Y,BLF,AppendedBlankField
2017,62,!,Buckinghamshire,52,NotYes,MOT,AppendedBlankField
2017,63,!,Buckinghamshire,46,NotYes,WHB,AppendedBlankField
2017,64,!,Buckinghamshire,125,Y,AppendedBlankField,AppendedBlankField
2017,65,!,Buckinghamshire,88,NotYes,WHB,AppendedBlankField
2017,66,!,Buckinghamshire,52,NotYes,APK,AppendedBlankField
2017,67,!,Buckinghamshire,52,NotYes,OEO,AppendedBlankField
2017,68,!,Buckinghamshire,23,NotYes,WHA,AppendedBlankField
2017,69,!,Buckinghamshire,112,NotYes,WHA,AppendedBlankField
2017,70,!,Buckinghamshire,37,NotYes,AIN,AppendedBlankField
2017,71,!,Buckinghamshire,44,NotYes,AAO,AppendedBlankField
2017,72,!,Buckinghamshire,78,NotYes,AIN,AppendedBlankField
2017,73,!,Buckinghamshire,126,Y,WHB,AppendedBlankField
2017,74,!,Out,56,NotYes,WHB,AppendedBlankField
2017,75,!,Out,158,Y,AIN,AppendedBlankField
2017,76,!,Out,146,Y,WHB,AppendedBlankField
2017,77,!,Out,48,NotYes,WHB,AppendedBlankField
2017,78,!,Out,145,Y,AIN,
2017,79,!,Out,111,NotYes,WHB,AppendedBlankField
2017,80,!,Buckinghamshire,127,Y,AAO,AppendedBlankField
2017,81,!,Buckinghamshire,139,Y,AppendedBlankField,AppendedBlankField
2017,82,!,Buckinghamshire,83,NotYes,WHB,AppendedBlankField
2017,83,!,Buckinghamshire,124,Y,AppendedBlankField,AppendedBlankField
2017,84,!,Buckinghamshire,104,NotYes,WHB,AppendedBlankField
2017,85,!,Buckinghamshire,55,NotYes,WHB,AppendedBlankField
2017,86,!,Buckinghamshire,131,Y,WEN,AppendedBlankField
2017,87,!,Buckinghamshire,140,Y,WHB,AppendedBlankField
2017,88,!,Buckinghamshire,43,NotYes,WHB,AppendedBlankField
2017,89,!,Out,116,NotYes,AppendedBlankField,AppendedBlankField
2017,90,!,Out,73,NotYes,AppendedBlankField,AppendedBlankField
2017,91,!,Out,117,NotYes,AppendedBlankField,AppendedBlankField
2017,92,!,Out,96,NotYes,AppendedBlankField,AppendedBlankField
2017,93,!,Out,87,NotYes,AppendedBlankField,AppendedBlankField
2017,94,!,Out,147,Y,AIN,AppendedBlankField
2017,95,!,Out,132,Y,WHB,AppendedBlankField
2017,96,!,Out,40,NotYes,AppendedBlankField,AppendedBlankField
2017,97,!,Out,90,NotYes,WEN,AppendedBlankField
2017,98,!,Out,91,NotYes,AppendedBlankField,AppendedBlankField
2017,99,!,Out,102,NotYes,WHB,AppendedBlankField
2017,100,!,Out,132,Y,WHB,AppendedBlankField
2017,101,!,Out,85,NotYes,WHB,AppendedBlankField
2017,102,!,Out,129,Y,AppendedBlankField,AppendedBlankField
2017,103,!,Out,129,Y,AIN,AppendedBlankField
2017,104,!,Out,94,NotYes,APK,AppendedBlankField
2017,105,!,Out,121,Y,ASR,AppendedBlankField
2017,106,!,Out,151,Y,AIN,AppendedBlankField
2017,107,!,Out,143,Y,AppendedBlankField,AppendedBlankField
2017,108,!,Out,129,Y,AppendedBlankField,AppendedBlankField
2017,109,!,Out,164,Y,AIN,AppendedBlankField
2017,110,!,Out,161,Y,AppendedBlankField,AppendedBlankField
2017,111,!,Out,130,Y,AppendedBlankField,AppendedBlankField
2017,112,!,Out,47,NotYes,AppendedBlankField,AppendedBlankField
2017,113,!,Out,110,NotYes,AppendedBlankField,AppendedBlankField
2017,114,!,Out,121,Y,AIN,AppendedBlankField
2017,115,!,Out,88,NotYes,AIN,AppendedBlankField
2017,116,!,Out,61,NotYes,AppendedBlankField,AppendedBlankField
2017,117,!,Out,154,Y,WHB,AppendedBlankField
2017,118,!,Out,86,NotYes,WHB,AppendedBlankField
2017,119,!,Out,146,Y,AppendedBlankField,AppendedBlankField
2017,120,!,Out,95,NotYes,AIN,AppendedBlankField
2017,121,!,Out,100,NotYes,AppendedBlankField,AppendedBlankField
2017,122,!,Out,147,Y,AIN,AppendedBlankField
2017,123,!,Out,142,Y,AIN,AppendedBlankField
2017,124,!,Out,96,NotYes,AIN,AppendedBlankField
2017,125,!,Out,82,NotYes,AppendedBlankField,AppendedBlankField
2017,126,!,Out,126,Y,APK,AppendedBlankField
2017,127,!,Out,144,Y,WHB,AppendedBlankField
2017,128,!,Out,139,Y,AppendedBlankField,AppendedBlankField
2017,129,!,Out,145,Y,AppendedBlankField,AppendedBlankField
2017,130,!,Out,118,NotYes,AppendedBlankField,AppendedBlankField
2017,131,!,Out,116,NotYes,AppendedBlankField,AppendedBlankField
2017,132,!,Out,112,NotYes,AppendedBlankField,AppendedBlankField
2017,133,!,Out,153,Y,AIN,AppendedBlankField
2017,134,!,Out,145,Y,AppendedBlankField,AppendedBlankField
2017,135,!,Out,118,NotYes,AIN,AppendedBlankField
2017,136,!,Out,140,Y,AppendedBlankField,AppendedBlankField
2017,137,!,Out,88,NotYes,AppendedBlankField,AppendedBlankField
2017,138,!,Out,142,Y,AppendedBlankField,AppendedBlankField
2017,139,!,Out,131,Y,AppendedBlankField,AppendedBlankField
2017,140,!,Out,149,Y,AppendedBlankField,AppendedBlankField
2017,141,!,Out,132,Y,AppendedBlankField,AppendedBlankField
2017,142,!,Out,64,NotYes,AIN,AppendedBlankField
2017,143,!,Out,88,NotYes,AppendedBlankField,AppendedBlankField
2017,144,!,Buckinghamshire,68,NotYes,APK,AppendedBlankField
2017,145,!,Buckinghamshire,71,NotYes,WHA,AppendedBlankField
2017,146,!,Buckinghamshire,95,NotYes,APK,AppendedBlankField
2017,147,!,Buckinghamshire,44,NotYes,MWA,AppendedBlankField
2017,148,!,Buckinghamshire,43,NotYes,AAO,AppendedBlankField
2017,149,!,Buckinghamshire,71,NotYes,WHA,AppendedBlankField
2017,150,!,Buckinghamshire,28,NotYes,MWB,AppendedBlankField
2017,151,!,Buckinghamshire,64,NotYes,WHB,AppendedBlankField
2017,152,!,Buckinghamshire,34,NotYes,WHB,AppendedBlankField
2017,153,!,Buckinghamshire,42,NotYes,MWB,AppendedBlankField
2017,154,!,Buckinghamshire,85,NotYes,WHB,AppendedBlankField
2017,155,!,Buckinghamshire,119,Y,WHA,Yes
2017,156,!,Buckinghamshire,98,NotYes,MWA,AppendedBlankField
2017,157,!,Buckinghamshire,39,NotYes,APK,AppendedBlankField
2017,158,!,Buckinghamshire,79,NotYes,APK,AppendedBlankField
2017,159,!,Buckinghamshire,37,NotYes,BLF,AppendedBlankField
2017,160,!,Buckinghamshire,104,NotYes,WHB,No
2017,161,!,Buckinghamshire,84,NotYes,WHB,AppendedBlankField
2017,162,!,Buckinghamshire,101,NotYes,APK,No
2017,163,!,Buckinghamshire,48,NotYes,MWB,AppendedBlankField
2017,164,!,Buckinghamshire,88,NotYes,APK,AppendedBlankField
2017,165,!,Buckinghamshire,12,NotYes,WHB,AppendedBlankField
2017,166,!,Buckinghamshire,33,NotYes,WHB,AppendedBlankField
2017,167,!,Buckinghamshire,84,NotYes,WHB,AppendedBlankField
2017,168,!,Buckinghamshire,77,NotYes,WHB,AppendedBlankField
2017,169,!,Buckinghamshire,48,NotYes,WHB,AppendedBlankField
2017,170,!,Buckinghamshire,33,NotYes,WHB,AppendedBlankField
2017,171,!,Buckinghamshire,97,NotYes,MOT,No
2017,172,!,Buckinghamshire,52,NotYes,WHB,AppendedBlankField
2017,173,!,Buckinghamshire,61,NotYes,WHA,AppendedBlankField
2017,174,!,Out,115,NotYes,AppendedBlankField,AppendedBlankField
2017,175,!,Buckinghamshire,114,NotYes,WHB,AppendedBlankField
2017,176,!,Buckinghamshire,138,Y,WHB,AppendedBlankField
2017,177,!,Out,118,NotYes,AppendedBlankField,AppendedBlankField
2017,178,!,Buckinghamshire,51,NotYes,APK,AppendedBlankField
2017,179,!,Buckinghamshire,54,NotYes,APK,AppendedBlankField
2017,180,!,Buckinghamshire,112,NotYes,AAO,No
2017,181,!,Buckinghamshire,59,NotYes,OEO,AppendedBlankField
2017,182,!,Buckinghamshire,50,NotYes,APK,AppendedBlankField
2017,183,!,Buckinghamshire,76,NotYes,MOT,AppendedBlankField
2017,184,!,Buckinghamshire,91,NotYes,WHA,No
2017,185,!,Buckinghamshire,78,NotYes,WHB,AppendedBlankField
2017,186,!,Buckinghamshire,101,NotYes,WHB,No
2017,187,!,Buckinghamshire,44,NotYes,WHB,AppendedBlankField
2017,188,!,Buckinghamshire,27,NotYes,WHB,AppendedBlankField
2017,189,!,Buckinghamshire,50,NotYes,MWA,AppendedBlankField
2017,190,!,Buckinghamshire,81,NotYes,WHB,AppendedBlankField
2017,191,!,Buckinghamshire,88,NotYes,AAO,AppendedBlankField
2017,192,!,Buckinghamshire,64,NotYes,WHB,AppendedBlankField
2017,193,!,Buckinghamshire,39,NotYes,WHB,AppendedBlankField
2017,194,!,Buckinghamshire,75,NotYes,WHB,AppendedBlankField
2017,195,!,Buckinghamshire,79,NotYes,WHB,AppendedBlankField
2017,196,!,Buckinghamshire,35,NotYes,BLF,No
2017,197,!,Buckinghamshire,47,NotYes,WHB,AppendedBlankField
2017,198,!,Buckinghamshire,50,NotYes,OEO,AppendedBlankField
2017,199,!,Buckinghamshire,153,Y,APK,AppendedBlankField
2017,200,!,Buckinghamshire,56,NotYes,WHB,AppendedBlankField
2017,201,!,Buckinghamshire,133,Y,WHB,AppendedBlankField
2017,202,!,Buckinghamshire,49,NotYes,WHB,AppendedBlankField
2017,203,!,Buckinghamshire,51,NotYes,APK,AppendedBlankField
2017,204,!,Buckinghamshire,64,NotYes,MWB,AppendedBlankField
2017,205,!,Buckinghamshire,26,NotYes,APK,AppendedBlankField
