Score,Home
67,Buckinghamshire
40,Buckinghamshire
64,Buckinghamshire
96,Buckinghamshire
26,Buckinghamshire
128,Buckinghamshire
102,Buckinghamshire
36,Buckinghamshire
63,Buckinghamshire
47,Buckinghamshire
55,Buckinghamshire
26,Buckinghamshire
101,Buckinghamshire
93,Buckinghamshire
77,Buckinghamshire
62,Buckinghamshire
56,Buckinghamshire
13,Buckinghamshire
68,Buckinghamshire
45,Buckinghamshire
96,Buckinghamshire
35,Buckinghamshire
35,Buckinghamshire
58,Buckinghamshire
66,Buckinghamshire
91,Buckinghamshire
34,Buckinghamshire
97,Buckinghamshire
61,Buckinghamshire
62,Buckinghamshire
64,Buckinghamshire
86,Buckinghamshire
35,Buckinghamshire
90,Buckinghamshire
33,Buckinghamshire
107,Buckinghamshire
102,Buckinghamshire
33,Buckinghamshire
126,Buckinghamshire
69,Buckinghamshire
51,Buckinghamshire
44,Buckinghamshire
47,Buckinghamshire
85,Buckinghamshire
84,Buckinghamshire
52,Buckinghamshire
21,Buckinghamshire
91,Buckinghamshire
46,Buckinghamshire
41,Buckinghamshire
36,Buckinghamshire
48,Buckinghamshire
32,Out of county
59,Buckinghamshire
82,Buckinghamshire
81,Buckinghamshire
93,Buckinghamshire
65,Buckinghamshire
64,Buckinghamshire
45,Buckinghamshire
39,Buckinghamshire
21,Buckinghamshire
66,Buckinghamshire
49,Buckinghamshire
85,Buckinghamshire
62,Buckinghamshire
92,Buckinghamshire
73,Buckinghamshire
35,Buckinghamshire
59,Buckinghamshire
133,Buckinghamshire
42,Buckinghamshire
76,Buckinghamshire
32,Buckinghamshire
73,Buckinghamshire
68,Buckinghamshire
92,Buckinghamshire
87,Buckinghamshire
122,Buckinghamshire
39,Buckinghamshire
53,Buckinghamshire
127,Buckinghamshire
53,Buckinghamshire
44,Buckinghamshire
35,Buckinghamshire
93,Buckinghamshire
36,Buckinghamshire
39,Buckinghamshire
152,Buckinghamshire
67,Buckinghamshire
