Test,Grade,x,N,IRT,F(X^3),Keats,CompBin,ANOVA
V,9,1-3,37,1.97,1.58,1.49,1.57,1.60
V,9,4-6,418,2.18,2.14,2.01,2.14,2.13
V,9,7-9,1175,2.46,2.51,2.38,2.52,2.50
V,9,10-12,1638,2.68,2.77,2.65,2.75,2.74
V,9,13-15,1801,2.81,2.92,2.83,2.88,2.87
V,9,16-18,1893,2.86,3.00,2.93,2.92,2.91
V,9,19-21,1900,2.85,3.00,2.96,2.91,2.90
V,9,22-24,1851,2.79,2.94,2.93,2.83,2.82
V,9,25-27,1688,2.67,2.82,2.83,2.71,2.70
V,9,28-30,1450,2.49,2.64,2.65,2.56,2.52
V,9,31-33,1267,2.23,2.39,2.37,2.32,2.26
V,9,34-36,910,1.87,2.07,1.97,1.96,1.89
V,9,37-39,579,1.35,1.65,1.35,1.40,1.34
V,11,1-3,139,1.97,1.78,1.45,1.58,1.56
V,11,4-6,973,2.16,2.18,2.00,2.14,2.13
V,11,7-9,1883,2.44,2.48,2.37,2.52,2.51
V,11,10-12,2337,2.67,2.69,2.64,2.75,2.74
V,11,13-15,2190,2.81,2.82,2.82,2.87,2.86
V,11,16-18,1945,2.87,2.88,2.92,2.92,2.91
V,11,19-21,1735,2.87,2.89,2.96,2.93,2.91
V,11,22-24,1483,2.83,2.84,2.92,2.89,2.87
V,11,25-27,1221,2.73,2.73,2.82,2.82,2.78
V,11,28-30,1036,2.57,2.57,2.64,2.67,2.62
V,11,31-33,901,2.33,2.33,2.36,2.42,2.36
V,11,34-36,699,1.98,1.73,1.96,2.05,1.99
V,11,37-39,511,1.37,1.53,1.32,1.40,1.36
L,9,1-3,5,2.16,1.49,1.45,1.55,1.53
L,9,4-6,93,2.31,2.33,2.13,2.22,2.23
L,9,7-9,538,2.57,2.73,2.51,2.63,2.62
L,9,10-12,1235,2.84,3.00,2.79,2.91,2.91
L,9,13-15,1650,3.03,3.16,3.00,3.10,3.10
L,9,16-18,1681,3.15,3.25,3.15,3.20,3.20
L,9,19-21,1786,3.20,3.26,3.23,3.22,3.22
L,9,22-24,1793,3.19,3.21,3.26,3.21,3.21
L,9,25-27,1810,3.13,3.12,3.23,3.15,3.15
L,9,28-30,1708,3.02,3.00,3.15,3.06,3.05
L,9,31-33,1587,2.87,2.84,3.00,2.91,2.90
L,9,34-36,1265,2.66,2.67,2.79,2.74,2.71
L,9,37-39,927,2.38,2.49,2.49,2.48,2.43
L,9,40-42,488,1.99,2.33,2.07,2.12,2.03
L,9,43-45,105,1.51,2.20,1.51,1.56,1.47
L,11,1-3,9,2.17,1.62,1.28,1.37,1.31
L,11,4-6,95,2.26,2.31,2.09,2.19,2.21
L,11,7-9,441,2.59,2.65,2.48,2.62,2.62
L,11,10-12,943,2.89,2.91,2.77,2.91,2.92
L,11,13-15,1340,3.08,3.08,2.98,3.13,3.12
L,11,16-18,1420,3.20,3.20,3.13,3.25,3.24
L,11,19-21,1449,3.25,3.26,3.21,3.30,3.30
L,11,22-24,1580,3.24,3.26,3.24,3.28,3.28
L,11,25-27,1712,3.17,3.21,3.21,3.20,3.20
L,11,28-30,1846,3.04,3.14,3.12,3.07,3.07
L,11,31-33,2052,2.86,2.94,2.97,2.90,2.89
L,11,34-36,1886,2.63,2.71,2.77,2.69,2.66
L,11,37-39,1499,2.31,2.39,2.46,2.39,2.34
L,11,40-42,735,1.93,1.99,2.06,2.03,1.96
L,11,43-45,107,1.48,1.42,1.50,1.52,1.47
SI,9,1-3,4,2.26,1.54,1.48,1.59,1.62
SI,9,4-6,36,2.33,2.17,2.01,2.21,2.19
SI,9,7-9,173,2.50,2.59,2.40,2.63,2.61
SI,9,10-12,461,2.78,2.86,2.68,2.91,2.90
SI,9,13-15,841,2.96,3.04,2.88,3.08,3.07
SI,9,16-18,1028,3.07,3.13,3.02,3.16,3.15
SI,9,19-21,1367,3.11,3.16,3.10,3.16,3.15
SI,9,22-24,1661,3.09,3.14,3.12,3.12,3.11
SI,9,25-27,2142,3.01,3.06,3.09,3.03,3.03
SI,9,28-30,2340,2.90,2.95,3.01,2.91,2.90
SI,9,31-33,2292,2.76,2.79,2.87,2.80,2.79
SI,9,34-36,1985,2.58,2.59,2.67,2.64,2.62
SI,9,37-39,1420,2.32,2.35,2.38,2.42,2.36
SI,9,40-42,744,1.96,2.08,1.98,2.06,1.99
SI,9,43-45,166,1.48,1.79,1.41,1.50,1.43
SI,11,4-6,26,2.32,2.41,2.05,2.23,2.19
SI,11,7-9,222,2.55,2.75,2.45,2.63,2.63
SI,11,10-12,506,2.77,2.95,2.71,2.89,2.98
SI,11,13-15,1059,2.93,3.09,2.92,3.04,3.04
SI,11,16-18,1400,3.02,3.17,3.06,3.00,3.09
SI,11,19-21,1750,3.06,3.19,3.14,3.10,3.08
SI,11,22-24,2060,3.06,3.16,3.16,3.09,3.09
SI,11,25-27,2166,3.02,3.08,3.14,3.05,3.04
SI,11,28-30,2093,2.93,2.97,3.06,2.97,2.96
SI,11,31-33,2105,2.80,2.81,2.92,2.84,2.83
SI,11,34-36,1729,2.61,2.62,2.71,2.68,2.65
SI,11,37-39,1199,2.35,2.39,2.42,2.44,2.40
SI,11,40-42,643,1.99,2.12,2.00,2.07,2.02
SI,11,43-45,160,1.55,1.83,1.43,1.53,1.49
