scope,year,Schools,Percentage of maintaineda secondary school pupils taught in grammar schools
England+Wales,1947,1207,37.82771536
England+Wales,1948,1212,33.13915858
England+Wales,1949,1229,31.68077388
England+Wales,1950,1192,29.67551622
England+Wales,1951,1190,28.90940565
England+Wales,1952,1189,28.81548975
England+Wales,1953,1184,28.98305085
England+Wales,1954,1181,28.61878453
England+Wales,1955,1180,27.5862069
England+Wales,1956,1193,26.44628099
England+Wales,1957,1206,25.56012803
England+Wales,1958,1241,25.70815451
England+Wales,1959,1252,24.72040108
England+Wales,1960,1268,24.70631424
England+Wales,1961,1284,24.63768116
England+Wales,1962,1287,24.97354497
England+Wales,1963,1295,25.97122302
England+Wales,1964,1298,25.65371025
England+Wales,1965,1285,25.4964539
England+Wales,1966,1273,25.31061413
England,1967,1236,24.53229792
England,1968,1155,22.6597582
England,1969,1098,21.34414049
England,1970,1038,20.13451033
England,1971,970,18.78219355
England,1972,883,17.26846148
England,1973,819,15.65088319
England,1974,675,12.02406099
England,1975,566,9.825049764
England,1976,477,8.194629238
England,1977,407,6.93273876
England,1978,320,5.441094419
England,1979,261,4.520132648
England,1980,224,3.961363179
England,1981,206,3.663635127
England,1982,189,3.3
England,1983,178,3.1
England,1984,177,3.2
England,1985,173,3.2
England,1986,157,3
England,1987,154,3.1
England,1988,154,3.2
England,1989,150,3.4
England,1990,150,3.4
England,1991,152,3.6
England,1992,157,3.8
England,1993,155,3.998003965
England,1994,153,4.190847244
England,1995,157,4.010189982
England,1996,160,4.5
England,1997,158,4.231742408
England,1998,157,4.24088997
England,1999,165,4.512538995
England,2000,162,4.443598665
England,2001,159,4.404381794
England,2002,161,4.478650379
England,2003,163,4.527826021
England,2004,164,4.575778746
England,2005,164,4.624990619
England,2006,164,4.666238498
England,2007,164,4.737217368
England,2008,164,4.796736943
England,2009,164,4.840193264
England,2010,164,4.823690173
England,2011,164,4.913292848
England,2012,164,4.978818407
England,2013,164,5.031076127
England,2014,163,5.113619569
England,2015,163,5.154254932
England,2016,163,5.214381581
England,2017,163,5.27121489
England,2018,163,5.304270435
England,2019,163,5.292685932
