ID,Label,Colour,tested,GroupTest,provider,GroupSize,category
101,Barton Court Grammar School,#4994CE,658,Kent,GLA,16446,Local Authority
102,Chatham and Clarendon Grammar School,#8A5988,658,Kent,GLA,16446,Local Authority
103,Cranbrook School,#449E9E,658,Kent,GLA,16446,Local Authority
104,Dane Court Grammar School,#7FC241,658,Kent,GLA,16446,Local Authority
105,Dartford Grammar School,#D3D3D3,658,Kent,GLA,16446,Local Authority
106,Dartford Grammar School for Girls,#4994CE,658,Kent,GLA,16446,Local Authority
107,GRAVESEND GRAMMAR SCHOOL,#8A5988,658,Kent,GLA,16446,Local Authority
108,Highworth Grammar School,#449E9E,658,Kent,GLA,16446,Local Authority
109,Invicta Grammar School,#7FC241,658,Kent,GLA,16446,Local Authority
110,Maidstone Grammar School,#D3D3D3,658,Kent,GLA,16446,Local Authority
111,Maidstone Grammar School for Girls,#4994CE,658,Kent,GLA,16446,Local Authority
112,Oakwood Park Grammar School,#8A5988,658,Kent,GLA,16446,Local Authority
113,Queen Elizabeth's Grammar School,#449E9E,658,Kent,GLA,16446,Local Authority
114,Simon Langton Girls' Grammar School,#7FC241,658,Kent,GLA,16446,Local Authority
115,Simon Langton Grammar School for Boys,#D3D3D3,658,Kent,GLA,16446,Local Authority
116,SIR ROGER MANWOOD'S SCHOOL,#4994CE,658,Kent,GLA,16446,Local Authority
117,The Judd School,#8A5988,658,Kent,GLA,16446,Local Authority
118,The Norton Knatchbull School,#449E9E,658,Kent,GLA,16446,Local Authority
119,The Skinners' School Academy Trust,#7FC241,658,Kent,GLA,16446,Local Authority
120,Tonbridge Grammar School,#D3D3D3,658,Kent,GLA,16446,Local Authority
121,Tunbridge Wells Girls' Grammar,#4994CE,658,Kent,GLA,16446,Local Authority
122,Tunbridge Wells Grammar School for Boys,#8A5988,658,Kent,GLA,16446,Local Authority
123,Weald of Kent Grammar School,#449E9E,658,Kent,GLA,16446,Local Authority
124,Wilmington Boys Grammar School,#7FC241,658,Kent,GLA,16446,Local Authority
125,Wilmington Grammar School for Girls,#D3D3D3,658,Kent,GLA,16446,Local Authority
126,Aylesbury Grammar School,#4994CE,941,TBGS,GLA,12238,Grammar Consortium
127,AYLESBURY HIGH SCHOOL,#8A5988,941,TBGS,GLA,12238,Grammar Consortium
128,Beaconsfield High School,#449E9E,941,TBGS,GLA,12238,Grammar Consortium
129,BURNHAM GRAMMAR SCHOOL,#7FC241,941,TBGS,GLA,12238,Grammar Consortium
130,CHESHAM GRAMMAR SCHOOL,#D3D3D3,941,TBGS,GLA,12238,Grammar Consortium
131,Dr Challoner's Grammar School,#4994CE,941,TBGS,GLA,12238,Grammar Consortium
132,Dr. Challoner's High School,#8A5988,941,TBGS,GLA,12238,Grammar Consortium
133,JOHN HAMPDEN GRAMMAR SCHOOL,#449E9E,941,TBGS,GLA,12238,Grammar Consortium
134,Royal Grammar School,#7FC241,941,TBGS,GLA,12238,Grammar Consortium
135,Sir Henry Floyd Grammar School,#D3D3D3,941,TBGS,GLA,12238,Grammar Consortium
136,Sir William Borlase's Grammar,#4994CE,941,TBGS,GLA,12238,Grammar Consortium
137,The Royal Latin School,#8A5988,941,TBGS,GLA,12238,Grammar Consortium
138,Wycombe High School,#449E9E,941,TBGS,GLA,12238,Grammar Consortium
139,Beths Grammar School,#7FC241,1464,Bexley,GLA,5855,Local Authority
140,Bexley Grammar School,#D3D3D3,1464,Bexley,GLA,5855,Local Authority
141,Chislehurst & Sidcup Grammar,#4994CE,1464,Bexley,GLA,5855,Local Authority
142,Townley Grammar School,#8A5988,1464,Bexley,GLA,5855,Local Authority
143,Queen Elizabeth's High School,#449E9E,783,Lincs,GLA,5054,Grammar Consortium
144,Bourne Grammar School,#7FC241,557,Lincs,GLA,5054,Grammar Consortium
145,Spalding High School,#D3D3D3,512,Lincs,GLA,5054,Grammar Consortium
146,KING EDWARD VI GRAMMAR SCHOOL,#4994CE,437,Lincs,GLA,5054,Grammar Consortium
147,Kesteven & Grantham Girls' School,#8A5988,403,Lincs,GLA,5054,Grammar Consortium
148,Boston Grammar School,#449E9E,383,Lincs,GLA,5054,Grammar Consortium
149,Spalding Grammar School,#7FC241,332,Lincs,GLA,5054,Grammar Consortium
150,Boston High School,#D3D3D3,320,Lincs,GLA,5054,Grammar Consortium
151,"The King's School, Grantham.",#4994CE,287,Lincs,GLA,5054,Grammar Consortium
152,CAISTOR GRAMMAR SCHOOL,#8A5988,285,Lincs,GLA,5054,Grammar Consortium
153,Carre's Grammar School,#449E9E,232,Lincs,GLA,5054,Grammar Consortium
154,"Queen Elizabeth's Grammar, Alford - A Selective Academy",#7FC241,205,Lincs,GLA,5054,Grammar Consortium
155,Skegness Grammar School,#D3D3D3,124,Lincs,GLA,5054,Grammar Consortium
156,Kesteven & Sleaford High School,#4994CE,98,Lincs,GLA,5054,Grammar Consortium
157,Queen Elizabeth's Grammar,#8A5988,98,Lincs,GLA,5054,Grammar Consortium
158,BISHOP VESEY'S GRAMMAR SCHOOL,#449E9E,624,Birmingham,GLA,4988,Grammar Consortium
159,KING EDWARD VI ASTON SCHOOL,#7FC241,624,Birmingham,GLA,4988,Grammar Consortium
160,KING EDWARD VI CAMP HILL GIRLS,#D3D3D3,624,Birmingham,GLA,4988,Grammar Consortium
161,King Edward VI Camp Hill School for Boys,#4994CE,624,Birmingham,GLA,4988,Grammar Consortium
162,King Edward VI Five Ways,#8A5988,624,Birmingham,GLA,4988,Grammar Consortium
163,King Edward VI Handsworth Grammar School for Boys,#449E9E,624,Birmingham,GLA,4988,Grammar Consortium
164,King Edward VI Handsworth School,#7FC241,624,Birmingham,GLA,4988,Grammar Consortium
165,Sutton Coldfield Grammar School for Girls,#D3D3D3,624,Birmingham,GLA,4988,Grammar Consortium
166,Herschel Grammar School,#4994CE,1243,Slough,GLA,4970,Grammar Consortium
