x,y,ID,Label,Colour,Tier,Size
0.01,0.5,0,English 11-plus,#D3D3D3,0,122972
0.3,0.26,1,Grammar Consortium,#4994CE,1,60944
0.3,0.46,2,Local Authority,#F27420,1,30376
0.3,0.77,3,Single School,#7FC241,1,31652
0.5,0.35,4,GLA,#8A5988,2,87862
0.5,0.74,5,DIY,#D3D3D3,2,27277
0.5,0.91,6,FS,#449E9E,2,6492
0.5,0.96,7,CEM,#FABC13,2,1341
0.7,0.1,8,Kent,#F27420,3,16450
0.7,0.25,9,Lincs,#4994CE,3,5056
0.7,0.175,10,TBGS,#4994CE,3,12233
0.7,0.31,11,Birmingham,#4994CE,3,4992
0.7,0.58,12,Gloucester,#4994CE,3,2667
0.7,0.88,13,Essex,#4994CE,3,5292
0.7,0.37,14,Medway Council,#F27420,3,3846
0.7,0.54,15,Warks,#4994CE,3,2925
0.7,0.34,16,Trafford,#4994CE,3,3944
0.7,0.85,17,Sutton,#4994CE,3,14198
0.7,0.6,18,Shropshire/Wolverhampton/Walsall,#4994CE,3,2590
0.7,0.66,19,BCP,#4994CE,3,1433
0.7,0.28,20,Slough,#4994CE,3,4972
0.7,0.22,21,Bexley,#F27420,3,5856
0.7,0.62,22,Wirral,#F27420,3,1720
0.7,0.68,23,Lancs,#4994CE,3,642
0.7,0.56,24,Redbridge,#F27420,3,2257
0.7,0.64,25,Kent|Dover,#7FC241,3,652
0.7,0.99,26,Kent|Shepway,#7FC241,3,707
0.99,0,27,Barton Court Grammar School,#D3D3D3,4,658
0.99,0,28,Chatham and Clarendon Grammar School,#D3D3D3,4,658
0.99,0,29,Cranbrook School,#D3D3D3,4,658
0.99,0,30,Dane Court Grammar School,#D3D3D3,4,658
0.99,0,31,Dartford Grammar School,#D3D3D3,4,658
0.99,0,32,Dartford Grammar School for Girls,#D3D3D3,4,658
0.99,0,33,GRAVESEND GRAMMAR SCHOOL,#D3D3D3,4,658
0.99,0,34,Highworth Grammar School,#D3D3D3,4,658
0.99,0,35,Invicta Grammar School,#D3D3D3,4,658
0.99,0,36,Maidstone Grammar School,#D3D3D3,4,658
0.99,0,37,Maidstone Grammar School for Girls,#D3D3D3,4,658
0.99,0,38,Oakwood Park Grammar School,#D3D3D3,4,658
0.99,0,39,Queen Elizabeth's Grammar School,#D3D3D3,4,658
0.99,0,40,Simon Langton Girls' Grammar School,#D3D3D3,4,658
0.99,0,41,Simon Langton Grammar School for Boys,#D3D3D3,4,658
0.99,0,42,SIR ROGER MANWOOD'S SCHOOL,#D3D3D3,4,658
0.99,0,43,The Judd School,#D3D3D3,4,658
0.99,0,44,The Norton Knatchbull School,#D3D3D3,4,658
0.99,0,45,The Skinners' School Academy Trust,#D3D3D3,4,658
0.99,0,46,Tonbridge Grammar School,#D3D3D3,4,658
0.99,0,47,Tunbridge Wells Girls' Grammar,#D3D3D3,4,658
0.99,0,48,Tunbridge Wells Grammar School for Boys,#D3D3D3,4,658
0.99,0,49,Weald of Kent Grammar School,#D3D3D3,4,658
0.99,0,50,Wilmington Boys Grammar School,#D3D3D3,4,658
0.99,0,51,Wilmington Grammar School for Girls,#D3D3D3,4,658
0.99,0,52,Aylesbury Grammar School,#D3D3D3,4,941
0.99,0,53,AYLESBURY HIGH SCHOOL,#D3D3D3,4,941
0.99,0,54,Beaconsfield High School,#D3D3D3,4,941
0.99,0,55,BURNHAM GRAMMAR SCHOOL,#D3D3D3,4,941
0.99,0,56,CHESHAM GRAMMAR SCHOOL,#D3D3D3,4,941
0.99,0,57,Dr Challoner's Grammar School,#D3D3D3,4,941
0.99,0,58,Dr. Challoner's High School,#D3D3D3,4,941
0.99,0,59,JOHN HAMPDEN GRAMMAR SCHOOL,#D3D3D3,4,941
0.99,0,60,Royal Grammar School,#D3D3D3,4,941
0.99,0,61,Sir Henry Floyd Grammar School,#D3D3D3,4,941
0.99,0,62,Sir William Borlase's Grammar,#D3D3D3,4,941
0.99,0,63,The Royal Latin School,#D3D3D3,4,941
0.99,0,64,Wycombe High School,#D3D3D3,4,941
0.99,0,65,Beths Grammar School,#D3D3D3,4,1464
0.99,0,66,Bexley Grammar School,#D3D3D3,4,1464
0.99,0,67,Chislehurst & Sidcup Grammar,#D3D3D3,4,1464
0.99,0,68,Townley Grammar School,#D3D3D3,4,1464
0.99,0,69,Queen Elizabeth's High School,#D3D3D3,4,783
0.99,0,70,Bourne Grammar School,#D3D3D3,4,557
0.99,0,71,Spalding High School,#D3D3D3,4,512
0.99,0,72,KING EDWARD VI GRAMMAR SCHOOL,#D3D3D3,4,437
0.99,0,73,Kesteven & Grantham Girls' School,#D3D3D3,4,403
0.99,0,74,Boston Grammar School,#D3D3D3,4,383
0.99,0,75,Spalding Grammar School,#D3D3D3,4,332
0.99,0,76,Boston High School,#D3D3D3,4,320
0.99,0,77,"The King's School, Grantham.",#D3D3D3,4,287
0.99,0,78,CAISTOR GRAMMAR SCHOOL,#D3D3D3,4,285
0.99,0,79,Carre's Grammar School,#D3D3D3,4,232
0.99,0,80,"Queen Elizabeth's Grammar, Alford - A Selective Academy",#D3D3D3,4,205
0.99,0,81,Skegness Grammar School,#D3D3D3,4,124
0.99,0,82,Kesteven & Sleaford High School,#D3D3D3,4,98
0.99,0,83,Queen Elizabeth's Grammar,#D3D3D3,4,98
0.99,0,84,BISHOP VESEY'S GRAMMAR SCHOOL,#D3D3D3,4,624
0.99,0,85,KING EDWARD VI ASTON SCHOOL,#D3D3D3,4,624
0.99,0,86,KING EDWARD VI CAMP HILL GIRLS,#D3D3D3,4,624
0.99,0,87,King Edward VI Camp Hill School for Boys,#D3D3D3,4,624
0.99,0,88,King Edward VI Five Ways,#D3D3D3,4,624
0.99,0,89,King Edward VI Handsworth Grammar School for Boys,#D3D3D3,4,624
0.99,0,90,King Edward VI Handsworth School,#D3D3D3,4,624
0.99,0,91,Sutton Coldfield Grammar School for Girls,#D3D3D3,4,624
0.99,0,92,Herschel Grammar School,#D3D3D3,4,1243
0.99,0,93,LANGLEY GRAMMAR SCHOOL,#D3D3D3,4,1243
0.99,0,94,St Bernard's Catholic Grammar School,#D3D3D3,4,1243
0.99,0,95,Upton Court Grammar School,#D3D3D3,4,1243
0.99,0,96,Altrincham Grammar School for Boys,#D3D3D3,4,944
0.99,0,97,Sale Grammar School,#D3D3D3,4,841
0.99,0,98,Stretford Grammar School,#D3D3D3,4,789
0.99,0,99,Altrincham Grammar School for Girls,#D3D3D3,4,713
0.99,0,100,Urmston Grammar,#D3D3D3,4,657
0.99,0,101,Chatham Grammar School for Girls,#D3D3D3,4,641
0.99,0,102,Fort Pitt Grammar School,#D3D3D3,4,641
0.99,0,103,Holcombe Grammar School,#D3D3D3,4,641
0.99,0,104,RAINHAM MARK GRAMMAR SCHOOL,#D3D3D3,4,641
0.99,0,105,Rochester Grammar School,#D3D3D3,4,641
0.99,0,106,SIR JOSEPH WILLIAMSONS MATHEMATICAL SCHOOL,#D3D3D3,4,641
0.99,0,107,Queen Elizabeth's School,#D3D3D3,4,3433
0.99,0,108,Alcester Grammar School,#D3D3D3,4,585
0.99,0,109,KING EDWARD VI SCHOOL,#D3D3D3,4,585
0.99,0,110,LAWRENCE SHERIFF SCHOOL,#D3D3D3,4,585
0.99,0,111,Rugby High School,#D3D3D3,4,585
