country_code,Country,Region,Region Code,LAESTAB,URN,new_LA_code,Old_LA_code,LA name,Estab,School Name,Open date,Sex of school description,Form 7 school type,Form 7 school type description,Denomination,Phase of education,Type of establishment,Admissions policy,School Type,part-time girls aged 0,part-time girls aged 1,part-time girls aged 2,part-time girls aged 3,part-time girls aged 4,part-time girls aged 5,part-time girls aged 6,part-time girls aged 7,part-time girls aged 8,part-time girls aged 9,part-time girls aged 10,part-time girls aged 11,part-time girls aged 12,part-time girls aged 13,part-time girls aged 14,part-time girls aged 15,part-time girls aged 16,part-time girls aged 17,part-time girls aged 18,part-time girls aged 19,part-time girls age unclassified,full-time girls aged 0,full-time girls aged 1,full-time girls aged 2,full-time girls aged 3,full-time girls aged 4,full-time girls aged 5,full-time girls aged 6,full-time girls aged 7,full-time girls aged 8,full-time girls aged 9,full-time girls aged 10,full-time girls aged 11,full-time girls aged 12,full-time girls aged 13,full-time girls aged 14,full-time girls aged 15,full-time girls aged 16,full-time girls aged 17,full-time girls aged 18,full-time girls aged 19,full-time girls age unclassified,part time boys aged 0,part time boys aged 1,part time boys aged 2,part time boys aged 3,part time boys aged 4,part time boys aged 5,part time boys aged 6,part time boys aged 7,part time boys aged 8,part time boys aged 9,part time boys aged 10,part time boys aged 11,part time boys aged 12,part time boys aged 13,part time boys aged 14,part time boys aged 15,part time boys aged 16,part time boys aged 17,part time boys aged 18,part time boys aged 19,part time boys age unclassified,full time boys aged 0,full time boys aged 1,full time boys aged 2,full time boys aged 3,full time boys aged 4,full time boys aged 5,full time boys aged 6,full time boys aged 7,full time boys aged 8,full time boys aged 9,full time boys aged 10,full time boys aged 11,full time boys aged 12,full time boys aged 13,full time boys aged 14,full time boys aged 15,full time boys aged 16,full time boys aged 17,full time boys aged 18,full time boys aged 19,full time boys age unclassified,headcount total girls,headcount total boys,full time pupils,part time pupils,headcount of pupils,fte pupils,boy boarders,girl boarders,total boarders,Number of pupils (used for FSM calculation),number of pupils taking free school meals,% of pupils taking free school meals,number of pupils known to be eligible for free school meals,% of pupils known to be eligible for free school meals,Number of pupils (used for FSM calculation in Performance Tables),number of pupils known to be eligible for free school meals (Performance Tables),% of pupils known to be eligible for free school meals (Performance Tables),number of pupils classified as white British ethnic origin,% of pupils classified as white British ethnic origin,number of pupils classified as Irish ethnic origin,% of pupils classified as Irish ethnic origin,number of pupils classified as traveller of Irish heritage ethnic origin,% of pupils classified as traveller of Irish heritage ethnic origin,number of pupils classified as any other white background ethnic origin,% of pupils classified as any other white background ethnic origin,number of pupils classified as Gypsy/Roma ethnic origin,% of pupils classified as Gypsy/Roma ethnic origin,number of pupils classified as white and black Caribbean ethnic origin,% of pupils classified as white and black Caribbean ethnic origin,number of pupils classified as white and black African ethnic origin,% of pupils classified as white and black African ethnic origin,number of pupils classified as white and Asian ethnic origin,% of pupils classified as white and Asian ethnic origin,number of pupils classified as any other mixed background ethnic origin,% of pupils classified as any other mixed background ethnic origin,number of pupils classified as Indian ethnic origin,% of pupils classified as Indian ethnic origin,number of pupils classified as Pakistani ethnic origin,% of pupils classified as Pakistani ethnic origin,number of pupils classified as Bangladeshi ethnic origin,% of pupils classified as Bangladeshi ethnic origin,number of pupils classified as any other Asian background ethnic origin,% of pupils classified as any other Asian background ethnic origin,number of pupils classified as Caribbean ethnic origin,% of pupils classified as Caribbean ethnic origin,number of pupils classified as African ethnic origin,% of pupils classified as African ethnic origin,number of pupils classified as any other black background ethnic origin,% of pupils classified as any other black background ethnic origin,number of pupils classified as Chinese ethnic origin,% of pupils classified as Chinese ethnic origin,number of pupils classified as any other ethnic group ethnic origin,% of pupils classified as any other ethnic group ethnic origin,number of pupils unclassified,% of pupils unclassified,number of pupils of compulsory school age and above,number of pupils whose first language is known or believed to be English,% of pupils whose first language is known or believed to be English,number of pupils whose first language is known or believed to be other than English,% of pupils whose first language is known or believed to be other than English,number of pupils whose first language is unclassified,% of pupils whose first language is unclassified
E92000001,England,London,E12000007,2013614,100000,E09000001,201,City of London,3614,Sir John Cass's Foundation Primary School,,Mixed,18," Infant and Junior school, 5-11",Church of England,Primary,Voluntary Aided School,Not applicable,Maintained Primary,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,16,12,13,16,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,15,18,16,13,13,10,0,0,0,0,0,0,0,0,0,0,120,110,225,5,230,230,0,0,0,232,41,17.7,41,17.7,225,41,18.2,20,11.2,0,0,0,0,26,14.5,0,0,5,2.8,x,x,x,x,5,2.8,5,2.8,6,3.4,70,39.1,3,1.7,5,2.8,14,7.8,7,3.9,x,x,9,5,0,0,180,49,27.4,126,70.4,4,2.2
E92000001,England,London,E12000007,2016005,100001,E09000001,201,City of London,6005,City of London School for Girls,01/01/1920,Girls,60,Independent School,Church of England,Not applicable,Other Independent School,Not collected,Other Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,24,21,90,97,93,95,82,97,63,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,710,0,710,710,0,0,0,711,..,..,..,..,550,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,710,..,..,..,..,..,..
E92000001,England,London,E12000007,2016006,100002,E09000001,201,City of London,6006,St Paul's Cathedral School,01/01/1939,Mixed,60,Independent School,Christian,Not applicable,Other Independent School,Not collected,Other Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,14,19,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,23,17,21,23,29,16,0,0,0,0,0,0,0,0,90,165,250,0,250,250,0,0,0,252,..,..,..,..,252,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,230,..,..,..,..,..,..
E92000001,England,London,E12000007,2016007,100003,E09000001,201,City of London,6007,City of London School,01/01/1919,Boys,60,Independent School,0,Not applicable,Other Independent School,Not collected,Other Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,96,100,144,128,139,126,140,0,0,0,915,915,0,915,915,0,0,0,913,..,..,..,..,508,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,915,..,..,..,..,..,..
E92000001,England,London,E12000007,2021048,100005,E09000007,202,Camden,1048,Thomas Coram Centre,,Mixed,50, Maintained nursery,Does not apply,Nursery,LA Nursery School,Not applicable,Maintained Nursery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,70,0,70,70,0,0,0,71,15,21.1,15,21.1,71,15,21.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..
E92000001,England,London,E12000007,2021100,100006,E09000007,202,Camden,1100,Agincourt House,01/09/1999,Mixed,59,Pupil Referral Unit,Does not apply,Not applicable,Pupil Referral Unit,Not applicable,Pupil Referral Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,10,15,30,0,30,30,0,0,0,28,..,..,18,64.3,28,18,64.3,11,39.3,x,x,0,0,x,x,0,0,3,10.7,0,0,x,x,x,x,0,0,0,0,4,14.3,0,0,x,x,3,10.7,0,0,0,0,0,0,0,0,30,21,75,7,25,0,0
E92000001,England,London,E12000007,2021101,100007,E09000007,202,Camden,1101,Camden Primary Pupil Referral Unit,,Mixed,59,Pupil Referral Unit,Does not apply,Not applicable,Pupil Referral Unit,Not applicable,Pupil Referral Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,x,0,4,0,0,0,0,0,0,0,0,0,0,x,10,10,0,10,10,0,0,0,10,..,..,8,80,10,8,80,4,40,x,x,0,0,0,0,0,0,3,30,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0,10,>,>,0,0,0,0
E92000001,England,London,E12000007,2022019,100008,E09000007,202,Camden,2019,Argyle Primary School,,Mixed,18," Infant and Junior school, 5-11",Does not apply,Primary,Community School,Not applicable,Maintained Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,19,29,35,32,19,22,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,23,24,25,36,23,26,30,0,0,0,0,0,0,0,0,0,0,215,205,420,0,420,420,0,0,0,420,148,35.2,158,37.6,420,158,37.6,6,1.8,0,0,0,0,26,7.9,0,0,x,x,4,1.2,x,x,6,1.8,3,0.9,x,x,184,56.1,12,3.7,6,1.8,58,17.7,6,1.8,4,1.2,7,2.1,x,x,330,26,7.9,302,92.1,0,0
E92000001,England,London,E12000007,2022036,100009,E09000007,202,Camden,2036,Beckford Primary School,,Mixed,18," Infant and Junior school, 5-11",Does not apply,Primary,Community School,Not applicable,Maintained Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,30,31,28,38,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,29,30,32,21,27,32,0,0,0,0,0,0,0,0,0,0,230,225,455,0,455,455,0,0,0,456,157,34.4,193,42.3,456,193,42.3,49,13.7,3,0.8,x,x,84,23.5,0,0,15,4.2,14,3.9,7,2,16,4.5,0,0,7,2,22,6.2,12,3.4,12,3.4,52,14.6,4,1.1,0,0,55,15.4,4,1.1,355,117,32.8,236,66.1,4,1.1
E92000001,England,London,E12000007,2022065,100010,E09000007,202,Camden,2065,Brecknock Primary School,,Mixed,18," Infant and Junior school, 5-11",Does not apply,Primary,Community School,Not applicable,Maintained Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,22,22,20,19,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,28,18,16,20,23,22,0,0,0,0,0,0,0,0,0,0,150,185,335,0,335,335,0,0,0,336,156,46.4,177,52.7,336,177,52.7,48,19.9,0,0,0,0,26,10.8,0,0,13,5.4,3,1.2,x,x,6,2.5,x,x,4,1.7,40,16.6,9,3.7,3,1.2,74,30.7,x,x,3,1.2,3,1.2,5,2.1,240,83,34.4,158,65.6,0,0
