URN,SchoolName,Status,Phase,AdmPolicy
100049,Haverstock School,Open,Secondary,Non-selective
100050,Parliament Hill School,Open,Secondary,Non-selective
100051,Regent High School,Open,Secondary,Non-selective
100052,Hampstead School,Open,Secondary,Non-selective
100053,Acland Burghley School,Open,Secondary,Non-selective
100054,The Camden School for Girls,Open,Secondary,Non-selective
100055,Maria Fidelis Catholic School FCJ,Open,Secondary,Non-selective
100056,William Ellis School,Open,Secondary,Non-selective
100059,La Sainte Union Catholic Secondary School,Open,Secondary,Non-selective
100182,Eltham Hill School,Open,Secondary,Non-selective
100183,Plumstead Manor School,Open,Secondary,Non-selective
100190,Thomas Tallis School,Open,Secondary,Non-selective
100193,St Ursula's Convent School,Open,Secondary,Non-selective
100279,Stoke Newington School and Sixth Form,Open,Secondary,Non-selective
100282,All Saints Catholic High School,Open,Secondary,Non-selective
100284,The Urswick School - A Church of England Secondary School,Open,Secondary,Non-selective
100455,Highbury Fields School,Open,Secondary,Non-selective
100457,Elizabeth Garrett Anderson School,Open,Secondary,Non-selective
100458,Central Foundation Boys' School,Open,Secondary,Non-selective
100503,All Saints Catholic College,Open,Secondary,Non-selective
100624,The Norwood School,Open,Secondary,Non-selective
100625,Lilian Baylis Technology School,Open,Secondary,Non-selective
100627,Saint Gabriel's College,Open,Secondary,Non-selective
100637,La Retraite Roman Catholic Girls' School,Open,Secondary,Non-selective
100638,Bishop Thomas Grant Catholic Secondary School,Open,Secondary,Non-selective
100740,Deptford Green School,Open,Secondary,Non-selective
100741,Sydenham School,Open,Secondary,Non-selective
100745,Forest Hill School,Open,Secondary,Non-selective
100748,Addey and Stanhope School,Open,Secondary,Non-selective
100849,St Saviour's and St Olave's Church of England School,Open,Secondary,Non-selective
100857,The St Thomas the Apostle College,Open,Secondary,Non-selective
100965,Bow School,Open,Secondary,Non-selective
100966,Langdon Park Community School,Open,Secondary,Non-selective
100967,Morpeth School,Open,Secondary,Non-selective
100972,Oaklands School,Open,Secondary,Non-selective
100973,Swanlea School,Open,Secondary,Non-selective
100974,George Green's School,Open,Secondary,Non-selective
100975,Central Foundation Girls' School,Open,Secondary,Non-selective
100977,Stepney All Saints Church of England Secondary School,Open,Secondary,Non-selective
101154,St Augustine's Federated Schools: CE High School,Open,Secondary,Non-selective
101241,"Barking Abbey School, A Specialist Sports and Humanities College",Open,Secondary,Non-selective
101247,All Saints Catholic School and Technology College,Open,Secondary,Non-selective
101345,Friern Barnet School,Open,Secondary,Non-selective
101361,St Michael's Catholic Grammar School,Open,Secondary,Selective
101362,Finchley Catholic High School,Open,Secondary,Non-selective
101364,St James' Catholic High School,Open,Secondary,Non-selective
101564,Newman Catholic College,Open,Secondary,Non-selective
101676,St Olave's and St Saviour's Grammar School,Open,Secondary,Selective
101811,Archbishop Tenison's CofE High School,Open,Secondary,Non-selective
101814,St Mary's Catholic High School,Open,Secondary,Non-selective
101821,Thomas More Catholic School,Open,Secondary,Non-selective
101928,Villiers High School,Open,Secondary,Non-selective
101934,The Cardinal Wiseman Catholic School,Open,Secondary,Non-selective
101939,Brentside High School,Open,Secondary,Non-selective
101940,Greenford High School,Open,Secondary,Non-selective
101941,The Ellen Wilkinson School for Girls,Open,Secondary,Non-selective
101943,Islip Manor High School,Open,Secondary,Non-selective
102045,Winchmore School,Open,Secondary,Non-selective
102048,Enfield County School for Girls,Open,Secondary,Non-selective
102049,Chace Community School,Open,Secondary,Non-selective
102052,Bishop Stopford's School,Open,Secondary,Non-selective
102053,St Anne's Catholic High School for Girls,Open,Secondary,Non-selective
102055,The Latymer School,Open,Secondary,Selective
102056,Laurel Park School,Open,Secondary,Non-selective
102058,St Ignatius College,Open,Secondary,Non-selective
102153,Hornsey School for Girls,Open,Secondary,Non-selective
102154,Highgate Wood Secondary School,Open,Secondary,Non-selective
102156,Fortismere School,Open,Secondary,Non-selective
102157,Gladesmore Community School,Open,Secondary,Non-selective
102239,Whitmore High School,Open,Secondary,Non-selective
102449,Oak Wood School,Open,Secondary,Non-selective
102451,Harlington School,Open,Secondary,Non-selective
102539,The Heathland School,Open,Secondary,Non-selective
102545,Gunnersbury Catholic School,Open,Secondary,Non-selective
102673,Ricards Lodge High School,Open,Secondary,Non-selective
102674,Raynes Park High School,Open,Secondary,Non-selective
102679,Rutlish School,Open,Secondary,Non-selective
102681,Wimbledon College,Open,Secondary,Non-selective
102776,Little Ilford School,Open,Secondary,Non-selective
102786,St Angela's Ursuline School,Open,Secondary,Non-selective
102787,St Bonaventure's RC School,Open,Secondary,Non-selective
102849,Caterham High School,Open,Secondary,Non-selective
102850,Ilford County High School,Open,Secondary,Selective
102851,Wanstead High School,Open,Secondary,Non-selective
102852,Woodford County High School,Open,Secondary,Selective
102854,Woodbridge High School,Open,Secondary,Non-selective
102857,Valentines High School,Open,Secondary,Non-selective
102858,Mayfield School,Open,Secondary,Non-selective
102860,Trinity Catholic High School,Open,Secondary,Non-selective
102861,King Solomon High School,Open,Secondary,Non-selective
102929,Christ's Church of England Comprehensive Secondary School,Open,Secondary,Non-selective
103009,The John Fisher School,Open,Secondary,Non-selective
103013,St Philomena's Catholic High School for Girls,Open,Secondary,Non-selective
103094,Frederick Bremer School,Open,Secondary,Non-selective
103097,Heathcote School & Science College,Open,Secondary,Non-selective
103100,Willowfield School,Open,Secondary,Non-selective
103101,Leytonstone School,Open,Secondary,Non-selective
103103,Walthamstow School for Girls,Open,Secondary,Non-selective
103105,Kelmscott School,Open,Secondary,Non-selective
103106,Holy Family Catholic School,Open,Secondary,Non-selective
103483,Hodge Hill Girls' School,Open,Secondary,Non-selective
103486,Kings Heath Secondary School,Open,Secondary,Non-selective
103493,Bordesley Green Girls' School & Sixth Form,Open,Secondary,Non-selective
103497,Queensbridge School,Open,Secondary,Non-selective
103498,Selly Park Girls' School,Open,Secondary,Non-selective
103501,Wheelers Lane Technology College,Open,Secondary,Non-selective
103503,Hodge Hill College,Open,Secondary,Non-selective
103509,Holte School,Open,Secondary,Non-selective
103519,Moseley School and Sixth Form,Open,Secondary,Non-selective
103531,St Paul's School for Girls,Open,Secondary,Non-selective
103534,St John Wall Catholic School,Open,Secondary,Non-selective
103539,Cardinal Wiseman Catholic School,Open,Secondary,Non-selective
103560,Bishop Challoner Catholic College,Open,Secondary,Non-selective
103563,Colmers School and Sixth Form College,Open,Secondary,Non-selective
103854,Summerhill School,Open,Secondary,Non-selective
103855,The Dormston School,Open,Secondary,Non-selective
103870,Old Swinford Hospital,Open,Secondary,Non-selective
104018,Holly Lodge High School College of Science,Open,Secondary,Non-selective
104019,St Michael's Church of England High School,Open,Secondary,Non-selective
104255,St Francis of Assisi Catholic College,Open,Secondary,Non-selective
104259,"St Thomas More Catholic School, Willenhall",Open,Secondary,Non-selective
104387,St Matthias School,Open,Secondary,Non-selective
104395,Colton Hills Community School,Open,Secondary,Non-selective
104688,Holly Lodge Girls' College,Open,Secondary,Non-selective
104698,Calderstones School,Open,Secondary,Non-selective
104703,King David High School,Open,Secondary,Non-selective
104712,St Julie's Catholic High School,Open,Secondary,Non-selective
104713,Broughton Hall Catholic High School,Open,Secondary,Non-selective
104714,Cardinal Heenan Catholic High School,Open,Secondary,Non-selective
104715,St John Bosco Arts College,Open,Secondary,Non-selective
104717,Archbishop Beck Catholic College,Open,Secondary,Non-selective
104721,St Hilda's Church of England High School,Open,Secondary,Non-selective
104829,Cowley International College,Open,Secondary,Non-selective
104835,St Cuthbert's Catholic High School,Open,Secondary,Non-selective
